Date,SeriesName,Ticker,Price,z_return_20,volume_z_20,return_component,volume_component,baseline_score,flag_return_only,flag_volume_only,baseline_threshold,is_anomaly
2021-01-04,AMD,AMD,92.3000030517578,0.3861543961395625,1.2039698679785282,0.3861543961395625,1.2039698679785282,0.6314990376912522,False,False,2.8685763160034354,False
2021-01-05,AMD,AMD,92.7699966430664,0.357265650563535,-0.0978123537025821,0.357265650563535,0.0978123537025821,0.2794296615052491,False,False,2.8685763160034354,False
2021-01-06,AMD,AMD,90.33000183105467,-1.4418138654595725,1.19234698563641,1.4418138654595725,1.19234698563641,1.3669738015126236,False,False,2.8685763160034354,False
2021-01-07,AMD,AMD,95.16000366210938,2.4762537150437223,0.5431876324436374,2.4762537150437223,0.5431876324436374,1.8963338902636966,False,False,2.8685763160034354,False
2021-01-08,AMD,AMD,94.58000183105467,-0.4567608600550458,0.362030130101984,0.4567608600550458,0.362030130101984,0.42834164106912725,False,False,2.8685763160034354,False
2021-01-11,AMD,AMD,97.25,1.2792076946245268,0.9334271092269598,1.2792076946245268,0.9334271092269598,1.1754735190052565,False,False,2.8685763160034354,False
2021-01-12,AMD,AMD,95.36000061035156,-1.0773526861696132,1.7295745904973636,1.0773526861696132,1.7295745904973636,1.2730192574679382,False,False,2.8685763160034354,False
2021-01-13,AMD,AMD,91.77999877929688,-1.7875729561768543,1.3234319085907975,1.7875729561768543,1.3234319085907975,1.6483306419010373,False,False,2.8685763160034354,False
2021-01-14,AMD,AMD,90.79000091552734,-0.3795606498601048,0.9742722650964666,0.3795606498601048,0.9742722650964666,0.5579741344310133,False,False,2.8685763160034354,False
2021-01-15,AMD,AMD,88.20999908447266,-1.1807292560866445,0.6857345786608003,1.1807292560866445,0.6857345786608003,1.0322308528588913,False,False,2.8685763160034354,False
2021-01-19,AMD,AMD,89.44999694824219,0.8602033356476321,0.3800444498781586,0.8602033356476321,0.3800444498781586,0.71615566991679,False,False,2.8685763160034354,False
2021-01-20,AMD,AMD,88.75,-0.1907428392845535,-0.287581229102553,0.1907428392845535,0.287581229102553,0.2197943562299533,False,False,2.8685763160034354,False
2021-01-21,AMD,AMD,91.52999877929688,1.4891920355969912,0.9466360207654684,1.4891920355969912,0.9466360207654684,1.3264252311475344,False,False,2.8685763160034354,False
2021-01-22,AMD,AMD,92.79000091552734,0.6432107794790226,1.5356912753453578,0.6432107794790226,1.5356912753453578,0.9109549282389231,False,False,2.8685763160034354,False
2021-01-25,AMD,AMD,94.12999725341795,0.604865014860805,0.7528434043780268,0.604865014860805,0.7528434043780268,0.6492585317159715,False,False,2.8685763160034354,False
2021-01-26,AMD,AMD,94.70999908447266,0.214084624260027,0.9505241866519296,0.214084624260027,0.9505241866519296,0.4350164929775978,False,False,2.8685763160034354,False
2021-01-27,AMD,AMD,88.83999633789062,-2.4240814492578715,1.4820769868673245,2.4240814492578715,1.4820769868673245,2.1414801105407073,False,False,2.8685763160034354,False
2021-01-28,AMD,AMD,87.5199966430664,-0.5116681551903911,-0.0462089348522795,0.5116681551903911,0.0462089348522795,0.3720303890889576,False,False,2.8685763160034354,False
2021-01-29,AMD,AMD,85.63999938964844,-0.6973595253169381,0.5251036722473686,0.6973595253169381,0.5251036722473686,0.6456827693960672,False,False,2.8685763160034354,False
2021-02-01,AMD,AMD,87.66000366210938,0.9675434537075716,-0.893808601472484,0.9675434537075716,0.893808601472484,0.9454229980370452,False,False,2.8685763160034354,False
2021-02-02,AMD,AMD,88.86000061035156,0.5826881606372845,-1.7254181942408386,0.5826881606372845,1.7254181942408386,0.9255071707183506,False,False,2.8685763160034354,False
2021-02-03,AMD,AMD,87.88999938964844,-0.3109131242844737,-1.8773924768343044,0.3109131242844737,1.8773924768343044,0.7808569300494228,False,False,2.8685763160034354,False
2021-02-04,AMD,AMD,87.83999633789062,0.0318183839953829,-1.7993968547320176,0.0318183839953829,1.7993968547320176,0.5620919252163733,False,False,2.8685763160034354,False
2021-02-05,AMD,AMD,87.9000015258789,0.2022816069418246,-1.6710473671405048,0.2022816069418246,1.6710473671405048,0.6429113350014286,False,False,2.8685763160034354,False
2021-02-08,AMD,AMD,91.47000122070312,1.6673889241476658,-0.0300412611482068,1.6673889241476658,0.0300412611482068,1.176184625247828,False,False,2.8685763160034354,False
2021-02-09,AMD,AMD,90.91000366210938,-0.1156758513388633,-0.8497569466715844,0.1156758513388633,0.8497569466715844,0.3359001799386796,False,False,2.8685763160034354,False
2021-02-10,AMD,AMD,92.3499984741211,0.7220056241861283,-0.3346353717472191,0.7220056241861283,0.3346353717472191,0.6057945484544556,False,False,2.8685763160034354,False
2021-02-11,AMD,AMD,92.66000366210938,0.1278819917104041,-0.9142103720796888,0.1278819917104041,0.9142103720796888,0.3637805058211895,False,False,2.8685763160034354,False
2021-02-12,AMD,AMD,93.7699966430664,0.4585246299816858,-0.5445221307269544,0.4585246299816858,0.5445221307269544,0.4843238802052664,False,False,2.8685763160034354,False
2021-02-16,AMD,AMD,91.45999908447266,-1.2050743245833255,-0.8277799479655537,1.2050743245833255,0.8277799479655537,1.0918860115979938,False,False,2.8685763160034354,False
2021-02-17,AMD,AMD,89.94000244140625,-0.7614490868513821,-1.055859095588125,0.7614490868513821,1.055859095588125,0.849772089472405,False,False,2.8685763160034354,False
2021-02-18,AMD,AMD,88.63999938964844,-0.6432839800154588,-0.6904485926994042,0.6432839800154588,0.6904485926994042,0.6574333638206424,False,False,2.8685763160034354,False
2021-02-19,AMD,AMD,89.58000183105469,0.5392692448509259,-1.2431826780591333,0.5392692448509259,1.2431826780591333,0.750443274813388,False,False,2.8685763160034354,False
2021-02-22,AMD,AMD,85.37000274658203,-1.866328072087512,-0.3516515964621117,1.866328072087512,0.3516515964621117,1.4119251293998918,False,False,2.8685763160034354,False
2021-02-23,AMD,AMD,84.73999786376953,-0.0928678000286126,0.8904394715443195,0.0928678000286126,0.8904394715443195,0.33213930148332466,False,False,2.8685763160034354,False
2021-02-24,AMD,AMD,86.94000244140625,1.244623450506341,0.1649478883797525,1.244623450506341,0.1649478883797525,0.9207207818683644,False,False,2.8685763160034354,False
2021-02-25,AMD,AMD,82.41999816894531,-2.17764223342875,1.8025785892808328,2.17764223342875,1.8025785892808328,2.065123140184375,False,False,2.8685763160034354,False
2021-02-26,AMD,AMD,84.51000213623047,1.1415981476612227,1.2031225649836406,1.1415981476612227,1.2031225649836406,1.160055472857948,False,False,2.8685763160034354,False
2021-03-01,AMD,AMD,86.38999938964844,0.9160281525663052,-0.8184388511205497,0.9160281525663052,0.8184388511205497,0.8867513621325784,False,False,2.8685763160034354,False
2021-03-02,AMD,AMD,84.12999725341797,-1.035018509901364,-0.4128644094499241,1.035018509901364,0.4128644094499241,0.848372279765932,False,False,2.8685763160034354,False
2021-03-03,AMD,AMD,80.86000061035156,-1.4147112981563643,0.7936356985668063,1.4147112981563643,0.7936356985668063,1.2283886182794967,False,False,2.8685763160034354,False
